NO,Produk_Tahu,aroma,tekstur,cita_rasa,masa_kadaluarsa,Kualitas
1,Tahu Putih,Beraroma Gurih,Hancur,Gurih,1 Hari Setelah Produksi,Tinggi
2,Tahu Kuning,Beraroma Gurih,Kenyal,Tidak Begitu Gurih,1 Hari Setelah Produksi,Tinggi
3,Tahu Matang,Tidak Begitu Beraroma,Lembek,Gurih,2 Hari Setelah Produksi,Rendah
4,Tahu Sumedang,Beraroma Gurih,Kenyal,Gurih,1 Hari Setelah Produksi,Tinggi
5,Tahu Pletok,Beraroma Gurih,Hancur,Asam,3 Hari Setelah Produksi,Rendah
6,Tahu Mencos,Beraroma Gurih,Hancur,Gurih,1 Hari Setelah Produksi,Tinggi
7,Tahu Pong,Tidak Begitu Beraroma,Kenyal,Asam,3 Hari Setelah Produksi,Rendah
8,Tahu Putih,Beraroma Tidak Sedap,Kenyal,Gurih,1 Hari Setelah Produksi,Tinggi
9,Tahu Kuning,Tidak Begitu Beraroma,Kenyal,Gurih,2 Hari Setelah Produksi,Tinggi
10,Tahu Matang,Beraroma Gurih,Kenyal,Gurih,1 Hari Setelah Produksi,Tinggi
11,Tahu Sumedang,Tidak Begitu Beraroma,Kenyal,Gurih,2 Hari Setelah Produksi,Rendah
12,Tahu Pletok,Beraroma Gurih,Kenyal,Gurih,1 Hari Setelah Produksi,Tinggi
13,Tahu Mencos,Tidak Begitu Beraroma,Kenyal,Asam,3 Hari Setelah Produksi,Rendah
14,Tahu Pong,Beraroma Tidak Sedap,Kenyal,Gurih,1 Hari Setelah Produksi,Tinggi
15,Tahu Putih,Tidak Begitu Beraroma,Lembek,Gurih,3 Hari Setelah Produksi,Rendah
16,Tahu Kuning,Tidak Begitu Beraroma,Kenyal,Gurih,1 Hari Setelah Produksi,Tinggi
17,Tahu Matang,Beraroma Tidak Sedap,Hancur,Asam,1 Hari Setelah Produksi,Rendah
18,Tahu Sumedang,Beraroma Gurih,Lembek,Asam,1 Hari Setelah Produksi,Tinggi
19,Tahu Pletok,Beraroma Gurih,Kenyal,Gurih,3 Hari Setelah Produksi,Tinggi
20,Tahu Mencos,Beraroma Gurih,Hancur,Tidak Begitu Gurih,2 Hari Setelah Produksi,Rendah
21,Tahu Pong,Beraroma Gurih,Lembek,Gurih,1 Hari Setelah Produksi,Tinggi
22,Tahu Putih,Tidak Begitu Beraroma,Kenyal,Tidak Begitu Gurih,1 Hari Setelah Produksi,Rendah
23,Tahu Kuning,Beraroma Gurih,Kenyal,Gurih,1 Hari Setelah Produksi,Tinggi
24,Tahu Matang,Tidak Begitu Beraroma,Hancur,Gurih,3 Hari Setelah Produksi,Rendah
25,Tahu Sumedang,Beraroma Gurih,Kenyal,Gurih,2 Hari Setelah Produksi,Tinggi
26,Tahu Pletok,Beraroma Gurih,Hancur,Asam,3 Hari Setelah Produksi,Rendah
27,Tahu Mencos,Beraroma Gurih,Kenyal,Gurih,1 Hari Setelah Produksi,Tinggi
28,Tahu Pong,Beraroma Tidak Sedap,Kenyal,Gurih,2 Hari Setelah Produksi,Tinggi
29,Tahu Putih,Tidak Begitu Beraroma,Kenyal,Tidak Begitu Gurih,2 Hari Setelah Produksi,Rendah
30,Tahu Kuning,Beraroma Gurih,Kenyal,Gurih,1 Hari Setelah Produksi,Tinggi
31,Tahu Matang,Tidak Begitu Beraroma,Hancur,Asam,3 Hari Setelah Produksi,Rendah
32,Tahu Sumedang,Tidak Begitu Beraroma,Kenyal,Gurih,1 Hari Setelah Produksi,Tinggi
33,Tahu Pletok,Tidak Begitu Beraroma,Kenyal,Gurih,3 Hari Setelah Produksi,Rendah
34,Tahu Mencos,Tidak Begitu Beraroma,Kenyal,Gurih,1 Hari Setelah Produksi,Tinggi
35,Tahu Pong,Tidak Begitu Beraroma,Hancur,Gurih,2 Hari Setelah Produksi,Rendah
36,Tahu Putih,Beraroma Gurih,Lembek,Gurih,1 Hari Setelah Produksi,Tinggi
37,Tahu Kuning,Beraroma Tidak Sedap,Hancur,Asam,3 Hari Setelah Produksi,Rendah
38,Tahu Matang,Beraroma Gurih,Kenyal,Asam,1 Hari Setelah Produksi,Tinggi
39,Tahu Sumedang,Beraroma Gurih,Kenyal,Gurih,1 Hari Setelah Produksi,Tinggi
40,Tahu Pletok,Beraroma Gurih,Kenyal,Tidak Begitu Gurih,2 Hari Setelah Produksi,Rendah
41,Tahu Mencos,Beraroma Gurih,Kenyal,Gurih,1 Hari Setelah Produksi,Tinggi
42,Tahu Pong,Beraroma Gurih,Hancur,Tidak Begitu Gurih,2 Hari Setelah Produksi,Rendah
43,Tahu Putih,Beraroma Gurih,Kenyal,Gurih,1 Hari Setelah Produksi,Tinggi
44,Tahu Kuning,Tidak Begitu Beraroma,Kenyal,Asam,2 Hari Setelah Produksi,Rendah
45,Tahu Matang,Beraroma Gurih,Kenyal,Gurih,1 Hari Setelah Produksi,Tinggi
46,Tahu Sumedang,Beraroma Tidak Sedap,Hancur,Asam,3 Hari Setelah Produksi,Rendah
47,Tahu Pletok,Beraroma Gurih,Kenyal,Gurih,3 Hari Setelah Produksi,Tinggi
48,Tahu Mencos,Beraroma Gurih,Kenyal,Gurih,2 Hari Setelah Produksi,Tinggi
49,Tahu Pong,Tidak Begitu Beraroma,Lembek,Tidak Begitu Gurih,2 Hari Setelah Produksi,Rendah
50,Tahu Putih,Beraroma Gurih,Lembek,Gurih,1 Hari Setelah Produksi,Tinggi
51,Tahu Kuning,Tidak Begitu Beraroma,Hancur,Asam,1 Hari Setelah Produksi,Rendah
52,Tahu Matang,Beraroma Tidak Sedap,Kenyal,Gurih,1 Hari Setelah Produksi,Tinggi
53,Tahu Sumedang,Beraroma Gurih,Kenyal,Asam,1 Hari Setelah Produksi,Tinggi
54,Tahu Pletok,Tidak Begitu Beraroma,Kenyal,Tidak Begitu Gurih,2 Hari Setelah Produksi,Rendah
55,Tahu Mencos,Beraroma Gurih,Kenyal,Gurih,1 Hari Setelah Produksi,Tinggi
